"",model,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,model_type,n_clusters,MAE,MAPE,eps,min_samples
17,AgglomerativeClustering(n_clusters=9),0.233039,1.390687,84.412420,Agglomerative,9.0,51.393885,0.363427,NaN,NaN
22,"GaussianMixture(n_components=4, random_state=0)",0.229860,1.789675,122.801617,GMM,4.0,36.189082,0.416652,NaN,NaN
23,"GaussianMixture(n_components=5, random_state=0)",0.229698,1.515830,114.694738,GMM,5.0,36.332814,0.419078,NaN,NaN
5,"KMeans(n_clusters=7, n_init=10, random_state=0)",0.224714,1.443245,103.344944,KMeans,7.0,51.913406,0.410789,NaN,NaN
26,"GaussianMixture(n_components=8, random_state=0)",0.224635,1.575806,94.887785,GMM,8.0,46.895425,0.390791,NaN,NaN
6,"KMeans(n_init=10, random_state=0)",0.221363,1.525987,95.257902,KMeans,8.0,51.391008,0.422261,NaN,NaN
27,"GaussianMixture(n_components=9, random_state=0)",0.216715,1.676599,86.615548,GMM,9.0,39.541923,0.538186,NaN,NaN
18,AgglomerativeClustering(n_clusters=10),0.215062,1.415068,78.955196,Agglomerative,10.0,50.944853,0.360467,NaN,NaN
7,"KMeans(n_clusters=9, n_init=10, random_state=0)",0.210561,1.579263,88.168393,KMeans,9.0,41.607612,0.327940,NaN,NaN
19,AgglomerativeClustering(n_clusters=11),0.192062,1.540013,74.390703,Agglomerative,11.0,48.205521,0.346516,NaN,NaN
8,"KMeans(n_clusters=10, n_init=10, random_state=0)",0.191174,1.668709,82.060740,KMeans,10.0,37.676054,0.340751,NaN,NaN
28,"GaussianMixture(n_components=10, random_state=0)",0.188830,1.743424,81.054500,GMM,10.0,38.008103,0.515675,NaN,NaN
29,"GaussianMixture(n_components=11, random_state=0)",0.178876,1.724123,77.748236,GMM,11.0,39.123823,0.492208,NaN,NaN
9,"KMeans(n_clusters=11, n_init=10, random_state=0)",0.178876,1.724123,77.748236,KMeans,11.0,39.674340,0.359947,NaN,NaN
30,"DBSCAN(eps=500, min_samples=3)",-0.027721,2.379572,35.327906,DBSCAN,NaN,36.922230,0.433287,500.0,3.0
32,DBSCAN(eps=500),-0.032929,2.308556,39.486733,DBSCAN,NaN,50.240193,0.502989,500.0,5.0
31,"DBSCAN(eps=500, min_samples=4)",-0.086267,2.167100,29.590314,DBSCAN,NaN,45.429485,0.517123,500.0,4.0
39,"DBSCAN(eps=2000, min_samples=3)",NaN,NaN,NaN,DBSCAN,NaN,40.712128,0.534837,2000.0,3.0
40,"DBSCAN(eps=2000, min_samples=4)",NaN,NaN,NaN,DBSCAN,NaN,40.712128,0.534837,2000.0,4.0
41,DBSCAN(eps=2000),NaN,NaN,NaN,DBSCAN,NaN,40.712128,0.534837,2000.0,5.0
